Mod:Item:MetaData, Localized Name
enderio:block_not_holy_enlightened_fused_glass:0, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:1, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:2, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:3, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:4, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:5, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:6, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:7, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:8, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:9, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:10, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:11, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:12, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:13, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:14, Enlightened Clear Glass
enderio:block_not_holy_enlightened_fused_glass:15, Enlightened Clear Glass
enderio:block_not_holy_dark_fused_quartz:0, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:1, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:2, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:3, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:4, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:5, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:6, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:7, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:8, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:9, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:10, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:11, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:12, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:13, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:14, Dark Fused Quartz
enderio:block_not_holy_dark_fused_quartz:15, Dark Fused Quartz
enderio:block_not_holy_dark_fused_glass:0, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:1, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:2, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:3, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:4, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:5, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:6, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:7, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:8, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:9, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:10, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:11, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:12, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:13, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:14, Dark Clear Glass
enderio:block_not_holy_dark_fused_glass:15, Dark Clear Glass
enderio:block_not_unholy_fused_quartz:0, Fused Quartz
enderio:block_not_unholy_fused_quartz:1, Fused Quartz
enderio:block_not_unholy_fused_quartz:2, Fused Quartz
enderio:block_not_unholy_fused_quartz:3, Fused Quartz
enderio:block_not_unholy_fused_quartz:4, Fused Quartz
enderio:block_not_unholy_fused_quartz:5, Fused Quartz
enderio:block_not_unholy_fused_quartz:6, Fused Quartz
enderio:block_not_unholy_fused_quartz:7, Fused Quartz
enderio:block_not_unholy_fused_quartz:8, Fused Quartz
enderio:block_not_unholy_fused_quartz:9, Fused Quartz
enderio:block_not_unholy_fused_quartz:10, Fused Quartz
enderio:block_not_unholy_fused_quartz:11, Fused Quartz
enderio:block_not_unholy_fused_quartz:12, Fused Quartz
enderio:block_not_unholy_fused_quartz:13, Fused Quartz
enderio:block_not_unholy_fused_quartz:14, Fused Quartz
enderio:block_not_unholy_fused_quartz:15, Fused Quartz
enderio:block_not_unholy_fused_glass:0, Quite Clear Glass
enderio:block_not_unholy_fused_glass:1, Quite Clear Glass
enderio:block_not_unholy_fused_glass:2, Quite Clear Glass
enderio:block_not_unholy_fused_glass:3, Quite Clear Glass
enderio:block_not_unholy_fused_glass:4, Quite Clear Glass
enderio:block_not_unholy_fused_glass:5, Quite Clear Glass
enderio:block_not_unholy_fused_glass:6, Quite Clear Glass
enderio:block_not_unholy_fused_glass:7, Quite Clear Glass
enderio:block_not_unholy_fused_glass:8, Quite Clear Glass
enderio:block_not_unholy_fused_glass:9, Quite Clear Glass
enderio:block_not_unholy_fused_glass:10, Quite Clear Glass
enderio:block_not_unholy_fused_glass:11, Quite Clear Glass
enderio:block_not_unholy_fused_glass:12, Quite Clear Glass
enderio:block_not_unholy_fused_glass:13, Quite Clear Glass
enderio:block_not_unholy_fused_glass:14, Quite Clear Glass
enderio:block_not_unholy_fused_glass:15, Quite Clear Glass
enderio:block_not_unholy_enlightened_fused_quartz:0, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:1, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:2, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:3, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:4, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:5, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:6, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:7, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:8, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:9, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:10, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:11, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:12, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:13, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:14, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_quartz:15, Enlightened Fused Quartz
enderio:block_not_unholy_enlightened_fused_glass:0, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:1, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:2, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:3, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:4, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:5, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:6, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:7, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:8, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:9, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:10, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:11, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:12, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:13, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:14, Enlightened Clear Glass
enderio:block_not_unholy_enlightened_fused_glass:15, Enlightened Clear Glass
enderio:block_not_unholy_dark_fused_quartz:0, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:1, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:2, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:3, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:4, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:5, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:6, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:7, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:8, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:9, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:10, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:11, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:12, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:13, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:14, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_quartz:15, Dark Fused Quartz
enderio:block_not_unholy_dark_fused_glass:0, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:1, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:2, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:3, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:4, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:5, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:6, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:7, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:8, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:9, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:10, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:11, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:12, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:13, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:14, Dark Clear Glass
enderio:block_not_unholy_dark_fused_glass:15, Dark Clear Glass
enderio:block_not_pasture_fused_quartz:0, Fused Quartz
enderio:block_not_pasture_fused_quartz:1, Fused Quartz
enderio:block_not_pasture_fused_quartz:2, Fused Quartz
enderio:block_not_pasture_fused_quartz:3, Fused Quartz
enderio:block_not_pasture_fused_quartz:4, Fused Quartz
enderio:block_not_pasture_fused_quartz:5, Fused Quartz
enderio:block_not_pasture_fused_quartz:6, Fused Quartz
enderio:block_not_pasture_fused_quartz:7, Fused Quartz
enderio:block_not_pasture_fused_quartz:8, Fused Quartz
enderio:block_not_pasture_fused_quartz:9, Fused Quartz
enderio:block_not_pasture_fused_quartz:10, Fused Quartz
enderio:block_not_pasture_fused_quartz:11, Fused Quartz
enderio:block_not_pasture_fused_quartz:12, Fused Quartz
enderio:block_not_pasture_fused_quartz:13, Fused Quartz
enderio:block_not_pasture_fused_quartz:14, Fused Quartz
enderio:block_not_pasture_fused_quartz:15, Fused Quartz
enderio:block_not_pasture_fused_glass:0, Quite Clear Glass
enderio:block_not_pasture_fused_glass:1, Quite Clear Glass
enderio:block_not_pasture_fused_glass:2, Quite Clear Glass
enderio:block_not_pasture_fused_glass:3, Quite Clear Glass
enderio:block_not_pasture_fused_glass:4, Quite Clear Glass
enderio:block_not_pasture_fused_glass:5, Quite Clear Glass
enderio:block_not_pasture_fused_glass:6, Quite Clear Glass
enderio:block_not_pasture_fused_glass:7, Quite Clear Glass
enderio:block_not_pasture_fused_glass:8, Quite Clear Glass
enderio:block_not_pasture_fused_glass:9, Quite Clear Glass
enderio:block_not_pasture_fused_glass:10, Quite Clear Glass
enderio:block_not_pasture_fused_glass:11, Quite Clear Glass
enderio:block_not_pasture_fused_glass:12, Quite Clear Glass
enderio:block_not_pasture_fused_glass:13, Quite Clear Glass
enderio:block_not_pasture_fused_glass:14, Quite Clear Glass
enderio:block_not_pasture_fused_glass:15, Quite Clear Glass
enderio:block_not_pasture_enlightened_fused_quartz:0, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:1, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:2, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:3, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:4, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:5, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:6, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:7, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:8, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:9, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:10, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:11, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:12, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:13, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:14, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_quartz:15, Enlightened Fused Quartz
enderio:block_not_pasture_enlightened_fused_glass:0, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:1, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:2, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:3, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:4, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:5, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:6, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:7, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:8, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:9, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:10, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:11, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:12, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:13, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:14, Enlightened Clear Glass
enderio:block_not_pasture_enlightened_fused_glass:15, Enlightened Clear Glass
enderio:block_not_pasture_dark_fused_quartz:0, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:1, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:2, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:3, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:4, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:5, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:6, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:7, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:8, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:9, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:10, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:11, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:12, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:13, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:14, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_quartz:15, Dark Fused Quartz
enderio:block_not_pasture_dark_fused_glass:0, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:1, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:2, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:3, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:4, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:5, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:6, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:7, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:8, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:9, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:10, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:11, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:12, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:13, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:14, Dark Clear Glass
enderio:block_not_pasture_dark_fused_glass:15, Dark Clear Glass
enderio:item_soul_vial, Soul Vial
enderio:block_detector_block:0, Block Detector
enderio:block_detector_block_silent:0, Block Detector (Silent)
enderio:item_dark_steel_helmet, Dark Helm
enderio:item_dark_steel_chestplate, Dark Plate
enderio:item_dark_steel_leggings, Dark Leggings
enderio:item_dark_steel_boots, Dark Boots
enderio:item_dark_steel_shield, Dark Shield
enderio:item_dark_steel_sword, The Ender
enderio:item_dark_steel_pickaxe, Dark Pick
enderio:item_dark_steel_axe, Dark Axe
enderio:item_dark_steel_bow, Dark Bow
enderio:item_dark_steel_shears, Dark Shears
enderio:item_dark_steel_treetap, Dark Treetap
enderio:item_dark_steel_crook, Dark Crook
enderio:item_dark_steel_hand, Dark Backhoe
enderio:item_inventory_charger_simple, Simple Inventory Charger
enderio:item_inventory_charger_basic, Basic Inventory Charger
enderio:item_inventory_charger, Inventory Charger
enderio:item_inventory_charger_vibrant, Vibrant Inventory Charger
enderio:item_end_steel_sword, The Ender Mk2
enderio:item_end_steel_pickaxe, Ender Pickaxe
enderio:item_end_steel_axe, Ender Axe
enderio:item_end_steel_bow, Ender Bow
enderio:item_end_steel_helmet, Ender Helm
enderio:item_end_steel_chestplate, Ender Plate
enderio:item_end_steel_leggings, Ender Leggings
enderio:item_end_steel_boots, Ender Boots
enderio:item_end_steel_shield, Ender Shield
enderio:item_staff_of_levity:0, Staff of Levity
enderio:item_staff_of_levity:0, Staff of Levity
enderio:item_dark_steel_upgrade:0, Blank Dark Steel Upgrade
enderio:item_dark_steel_upgrade:1, Dark Steel Upgrade "Micro Anvil"
enderio:item_dark_steel_upgrade:1, Dark Steel Upgrade "Micro Anvil"
enderio:item_dark_steel_upgrade:1, Dark Steel Upgrade "Mini Anvil"
enderio:item_dark_steel_upgrade:1, Dark Steel Upgrade "Mini Anvil"
enderio:item_dark_steel_upgrade:1, Dark Steel Upgrade "Pocket Anvil"
